spend per visit,nights per visit,quarter,dur_stay,mode,purpose
62.20707019,7.000612008,January-March,4-7  nights,Air,Holiday
223.984692,4.835604067,January-March,4-7  nights,Air,Business
126.9582282,4.090391384,January-March,4-7  nights,Air,VFR
400.6579851,2.000897755,January-March,4-7  nights,Air,Miscellaneous
302.4224114,11.08693749,January-March,8-14 nights,Air,Holiday
234.5583704,11.89422698,January-March,8-14 nights,Air,VFR
52.11885847,4.999975566,January-March,8-14 nights,Sea,VFR
1873.172726,30.76850981,January-March,15+  nights,Air,Business
265.9385046,15.09295719,January-March,15+  nights,Air,VFR
503.7046046,27.44381543,January-March,15+  nights,Air,Miscellaneous
605.3516939,2.364922988,January-March,1-3  nights,Air,Business
48.00004622,1,January-March,1-3  nights,Air,VFR
331.0890116,1,January-March,1-3  nights,Air,Miscellaneous
997.8097419,4.669019625,January-March,4-7  nights,Air,Holiday
757.3245165,3.472690929,January-March,4-7  nights,Air,Business
711.9998514,5.0000001,January-March,4-7  nights,Air,VFR
677.9707626,3.999994645,January-March,4-7  nights,Tunnel,Holiday
1587.000688,7.999993607,January-March,8-14 nights,Air,Holiday
635.7113793,22.5154633,January-March,15+  nights,Air,VFR
135.1669441,2,January-March,15+  nights,Air,Miscellaneous
339.5386994,2.587058477,January-March,1-3  nights,Air,Holiday
348.7317012,1.840447706,January-March,1-3  nights,Air,Business
215.7247379,1.881038348,January-March,1-3  nights,Air,VFR
335.0669914,2.103772006,January-March,1-3  nights,Air,Miscellaneous
297.0627303,2,January-March,1-3  nights,Tunnel,VFR
235.7379353,4.461311871,January-March,4-7  nights,Air,Holiday
534.3479889,4.16033497,January-March,4-7  nights,Air,Business
181.0266116,3.594325548,January-March,4-7  nights,Air,VFR
322.0002496,6.999996111,January-March,4-7  nights,Air,Study
40.02011264,3.999989805,January-March,4-7  nights,Tunnel,VFR
142.6234149,12.15537316,January-March,8-14 nights,Air,Holiday
336.1508333,9.613812452,January-March,8-14 nights,Air,VFR
1861.994515,14.00000305,January-March,8-14 nights,Air,Study
323.5120224,22.37297254,January-March,15+  nights,Air,Business
300.4235569,18.24853566,January-March,15+  nights,Air,VFR
545.0810461,2.777348484,January-March,1-3  nights,Air,Holiday
438.5170121,2.029091949,January-March,1-3  nights,Air,Business
178.6897654,2.663358024,January-March,1-3  nights,Air,VFR
238.0659867,1.638879313,January-March,1-3  nights,Air,Miscellaneous
612.6412753,4.936002357,January-March,4-7  nights,Air,Holiday
1542.061346,4.883326656,January-March,4-7  nights,Air,Business
173.9438219,4.577547735,January-March,4-7  nights,Air,VFR
207.3849578,4.000008131,January-March,4-7  nights,Air,Miscellaneous
448.5703188,6.896012916,January-March,8-14 nights,Air,Holiday
786.637216,6.000000366,January-March,8-14 nights,Air,Business
142.7253519,6.113020192,January-March,8-14 nights,Air,VFR
94.99996574,1.999997159,January-March,15+  nights,Air,Business
20.00000104,16.00001089,January-March,15+  nights,Air,VFR
542.9997385,2.999996462,January-March,1-3  nights,Air,Business
401.7871156,2.510163631,January-March,1-3  nights,Air,Miscellaneous
285.0472848,4.011081416,January-March,4-7  nights,Air,Holiday
87.00007854,1,January-March,4-7  nights,Air,Business
1612.000708,68.99991571,January-March,15+  nights,Air,Business
262.0005233,34.00007876,January-March,15+  nights,Air,VFR
163.3173944,2.196866817,January-March,1-3  nights,Air,Business
13.49995945,1,January-March,1-3  nights,Air,Miscellaneous
23.12041663,0.995302884,January-March,1-3  nights,Tunnel,Business
412.0007293,4.000009402,January-March,4-7  nights,Air,Business
1091.204645,6.967171944,January-March,4-7  nights,Sea,Holiday
828.3707476,2.014206829,January-March,8-14 nights,Air,Business
202.7625973,174.1785664,January-March,15+  nights,Sea,Miscellaneous
136.9996206,2.000002432,January-March,1-3  nights,Air,Holiday
190.8444549,1.245978668,January-March,1-3  nights,Air,Business
257.8060596,2.364509763,January-March,1-3  nights,Air,VFR
111.9999756,2,January-March,1-3  nights,Air,Miscellaneous
86.17390276,0.995310563,January-March,1-3  nights,Tunnel,Business
278.2376121,4.539129771,January-March,4-7  nights,Air,Business
1262.000704,5.000010496,January-March,4-7  nights,Air,VFR
0,6.999998504,January-March,15+  nights,Air,VFR
197.5084607,2.697769364,January-March,1-3  nights,Air,Business
112.0000749,3.000000109,January-March,1-3  nights,Air,VFR
314.8497256,4.279330985,January-March,4-7  nights,Air,Holiday
906.8007806,4.031067757,January-March,4-7  nights,Air,Business
353.4633784,2.311338779,January-March,1-3  nights,Air,Holiday
519.2656563,2.691328814,January-March,1-3  nights,Air,Business
119.9997831,2.040337822,January-March,1-3  nights,Air,VFR
393.640671,2.0783828,January-March,1-3  nights,Air,Miscellaneous
720.3025253,5.142765121,January-March,4-7  nights,Air,Holiday
1100.495942,5.223963619,January-March,4-7  nights,Air,Business
249.7082808,4.90297332,January-March,4-7  nights,Air,VFR
361.9998392,4,January-March,4-7  nights,Air,Miscellaneous
1038.61595,13.03854474,January-March,8-14 nights,Air,Holiday
2.876724689,10.03584393,January-March,8-14 nights,Air,VFR
1398.257635,21.79236839,January-March,8-14 nights,Air,Study
1502.804419,23.05195792,January-March,15+  nights,Air,Holiday
711.0002598,19.99999872,January-March,15+  nights,Air,Business
216.8335782,30.38527886,January-March,15+  nights,Air,VFR
1311.189062,74.7168315,January-March,15+  nights,Air,Study
805.8944237,2.659883746,January-March,1-3  nights,Air,Holiday
404.9841348,2.476567234,January-March,1-3  nights,Air,Business
2448.166261,2.985755522,January-March,1-3  nights,Air,VFR
204.128329,1.37980724,January-March,1-3  nights,Air,Miscellaneous
536.7118793,5.87602295,January-March,4-7  nights,Air,Holiday
1189.004447,4.135033515,January-March,4-7  nights,Air,Business
477.4903897,3.89723991,January-March,4-7  nights,Air,VFR
720.4128886,4.746708344,January-March,4-7  nights,Air,Miscellaneous
249.9998622,5.000013309,January-March,4-7  nights,Tunnel,Holiday
1612.306379,12.30800028,January-March,8-14 nights,Air,Holiday
1692.247004,12.11944478,January-March,8-14 nights,Air,VFR
7011.969191,8,January-March,8-14 nights,Air,Miscellaneous
435.8886689,4.317238268,January-March,15+  nights,Air,Holiday
393.9412828,44.84043169,January-March,15+  nights,Air,VFR
712.0001322,27.00002812,January-March,15+  nights,Air,Miscellaneous
1000,38.00001743,January-March,15+  nights,Sea,Business
312.0002465,3,January-March,1-3  nights,Air,Holiday
775.2271119,1.646889948,January-March,1-3  nights,Air,Business
512.000678,2.999999787,January-March,1-3  nights,Air,VFR
90.1469887,1,January-March,1-3  nights,Air,Miscellaneous
2326.101399,4.523586738,January-March,4-7  nights,Air,Holiday
912.4561334,4.236520624,January-March,4-7  nights,Air,Business
881.4183778,4.308562479,January-March,4-7  nights,Air,VFR
411.9996965,14,January-March,8-14 nights,Air,Business
938.3465464,7.766397841,January-March,8-14 nights,Air,VFR
611.9999022,8.00001097,January-March,8-14 nights,Air,Miscellaneous
41.23117306,32.94164349,January-March,15+  nights,Air,VFR
48.78402413,12.99999885,January-March,15+  nights,Tunnel,VFR
334.5621505,2.314861464,January-March,1-3  nights,Air,Holiday
755.918573,2.000692829,January-March,1-3  nights,Air,Business
362.3577305,2.017310297,January-March,1-3  nights,Air,VFR
1368.096523,2.999999771,January-March,1-3  nights,Air,Study
122.3018019,1.116676018,January-March,1-3  nights,Air,Miscellaneous
163.0337917,2.231982671,January-March,1-3  nights,Sea,Holiday
278.7868904,2.481445784,January-March,1-3  nights,Tunnel,Holiday
541.9657471,1.794044419,January-March,1-3  nights,Tunnel,Business
321.016468,2.223764659,January-March,1-3  nights,Tunnel,VFR
469.4115491,1.999639727,January-March,1-3  nights,Tunnel,Miscellaneous
582.246485,5.379660424,January-March,4-7  nights,Air,Holiday
1022.895664,4.532655829,January-March,4-7  nights,Air,Business
369.0580333,4.514625816,January-March,4-7  nights,Air,VFR
111.9999853,6.000007219,January-March,4-7  nights,Air,Study
334.7770469,5.476744527,January-March,4-7  nights,Air,Miscellaneous
262.1761,4.367953737,January-March,4-7  nights,Sea,Holiday
438.7092653,4.833119765,January-March,4-7  nights,Tunnel,Holiday
1582.99634,3.884655977,January-March,4-7  nights,Tunnel,Business
246.0965201,3.906574433,January-March,4-7  nights,Tunnel,VFR
578.5172809,2.925704655,January-March,4-7  nights,Tunnel,Miscellaneous
636.3864289,7.263884586,January-March,8-14 nights,Air,Holiday
1576.126701,8.078547224,January-March,8-14 nights,Air,Business
472.631063,7.73290619,January-March,8-14 nights,Air,VFR
890.6984278,10.82431023,January-March,8-14 nights,Air,Study
373.068466,7.943300496,January-March,8-14 nights,Air,Miscellaneous
609.0780294,8.672815376,January-March,8-14 nights,Tunnel,Holiday
731.6399482,8.073220678,January-March,8-14 nights,Tunnel,Business
8661.642553,9.766414134,January-March,8-14 nights,Tunnel,VFR
998.2841006,10.11191507,January-March,8-14 nights,Tunnel,Study
399.1603125,6.339033268,January-March,8-14 nights,Tunnel,Miscellaneous
969.5866114,22.78943356,January-March,15+  nights,Air,Holiday
1553.344901,30.06255753,January-March,15+  nights,Air,Business
926.5846245,22.30297239,January-March,15+  nights,Air,VFR
1992.046718,33.36655075,January-March,15+  nights,Air,Study
1757.58589,33.32864268,January-March,15+  nights,Air,Miscellaneous
5863.371797,28.86657534,January-March,15+  nights,Tunnel,Business
1364.5806,21.28200127,January-March,15+  nights,Tunnel,VFR
4128.174845,32.12038344,January-March,15+  nights,Tunnel,Study
1694.612245,17.48226038,January-March,15+  nights,Tunnel,Miscellaneous
371.4130205,2.063540773,January-March,1-3  nights,Air,Holiday
573.6406092,1.723121813,January-March,1-3  nights,Air,Business
169.3666415,2.231593409,January-March,1-3  nights,Air,VFR
138.6685471,1.279644828,January-March,1-3  nights,Air,Miscellaneous
158.7316762,2.999994733,January-March,1-3  nights,Sea,Holiday
105.8216527,1,January-March,1-3  nights,Sea,Business
42.32898091,1.999992863,January-March,1-3  nights,Tunnel,Holiday
1066.860581,1.499996432,January-March,1-3  nights,Tunnel,Business
561.1881671,4.608380192,January-March,4-7  nights,Air,Holiday
862.4055878,4.086444348,January-March,4-7  nights,Air,Business
223.2277957,4.498042617,January-March,4-7  nights,Air,VFR
1173.029856,5.95639804,January-March,4-7  nights,Air,Miscellaneous
313.5584332,2.99999827,January-March,4-7  nights,Tunnel,VFR
449.374848,5.58160048,January-March,8-14 nights,Air,Holiday
816.007335,1.990668104,January-March,8-14 nights,Air,Business
320.687574,8.479312561,January-March,8-14 nights,Air,VFR
132.0001488,7.999990306,January-March,8-14 nights,Air,Study
98.37374231,0.992734684,January-March,8-14 nights,Air,Miscellaneous
143.1378427,6.705882128,January-March,8-14 nights,Tunnel,VFR
553.7877249,11.61905414,January-March,15+  nights,Air,Holiday
232.075921,32.84606867,January-March,15+  nights,Air,Business
544.328331,24.43993898,January-March,15+  nights,Air,VFR
852.0012166,122.9998669,January-March,15+  nights,Air,Study
1503.482976,17.86918076,January-March,15+  nights,Air,Miscellaneous
225.5440598,2.040576045,January-March,1-3  nights,Air,Holiday
85.31120131,1.020285121,January-March,1-3  nights,Air,Miscellaneous
49.86278224,0.995301491,January-March,1-3  nights,Sea,Holiday
309.1499562,1.990603403,January-March,1-3  nights,Tunnel,Holiday
481.1513621,3.765224289,January-March,4-7  nights,Air,Holiday
2140.543015,7.141995082,January-March,4-7  nights,Air,Business
1076.654174,6.121715273,January-March,4-7  nights,Air,VFR
245.5742865,4.478875139,January-March,4-7  nights,Tunnel,Holiday
299.3064848,6.121708993,January-March,8-14 nights,Air,Miscellaneous
79.78069287,13.93427637,January-March,8-14 nights,Tunnel,VFR
477.0196546,10.58778801,January-March,15+  nights,Air,VFR
990.6827181,2.776545447,January-March,1-3  nights,Air,Business
128.666503,3.000000114,January-March,1-3  nights,Air,VFR
326.5523594,4.734872698,January-March,4-7  nights,Air,Holiday
716.739164,4.27259052,January-March,4-7  nights,Air,Business
361.9998234,4,January-March,4-7  nights,Air,VFR
212.0000788,4.9999874,January-March,4-7  nights,Air,Miscellaneous
489.7292676,10.84150844,January-March,8-14 nights,Air,Holiday
110.8993634,9.203584129,January-March,8-14 nights,Tunnel,Holiday
198.2319042,14.00001773,January-March,15+  nights,Air,Holiday
1012.000204,78.91450097,January-March,15+  nights,Air,VFR
201.1690466,5.627876196,January-March,15+  nights,Tunnel,Holiday
355.5007301,1,January-March,1-3  nights,Air,Business
344.6775004,0.99530792,January-March,1-3  nights,Tunnel,VFR
275.2429291,5.971843918,January-March,4-7  nights,Tunnel,Holiday
1049.251512,47.7626619,January-March,15+  nights,Air,Holiday
1012.000427,26.99999318,January-March,15+  nights,Air,Miscellaneous
199.4516073,30.85459634,January-March,15+  nights,Tunnel,VFR
242.0867824,2.985911145,January-March,15+  nights,Tunnel,Study
139.9998992,2.999992403,April-June,1-3  nights,Tunnel,Holiday
812.0023478,6.000009913,April-June,4-7  nights,Air,Holiday
208.6473994,1.583314154,January-March,1-3  nights,Air,Holiday
415.57522,2.137126658,January-March,1-3  nights,Air,Business
180.5081071,2.703888469,January-March,1-3  nights,Air,VFR
